Model,Displ,Cyl,Trans,Drive,Fuel,Cert Region,Stnd,Stnd Description,Underhood ID,Veh Class,Air Pollution Score,City MPG,Hwy MPG,Cmb MPG,Greenhouse Gas Score,SmartWay,Comb CO2
BMW X1 M35i,2.0,4.0,AMS-7,4WD,Gasoline,CA,L3ULEV50,California LEV-III ULEV50,SBMXT02.0U1X,small SUV,5,23,31,26,5,No,334
BMW X1 xDrive28i,2.0,4.0,AMS-7,4WD,Gasoline,CA,L3SULEV20,California LEV-III SULEV20,SBMXT02.0B48,small SUV,7,24,33,28,6,No,318
BMW X2 M35i,2.0,4.0,AMS-7,4WD,Gasoline,CA,L3ULEV50,California LEV-III ULEV50,SBMXT02.0U1X,small SUV,5,23,32,26,5,No,332
BMW X2 xDrive28i,2.0,4.0,AMS-7,4WD,Gasoline,CA,L3SULEV20,California LEV-III SULEV20,SBMXT02.0B48,small SUV,7,24,33,28,6,No,318
BMW X3 M50i xDrive,3.0,4.0,SemiAuto-8,4WD,Gasoline,CA,OT,Other,SBMXJ03.0B5P,small SUV,6,25,30,27,5,No,320
BMW X3 xDrive30i,2.0,4.0,SemiAuto-8,4WD,Gasoline,CA,OT,Other,SBMXJ02.0B4P,small SUV,7,27,33,29,6,No,299
BMW X4 M,3.0,6.0,SemiAuto-8,4WD,Gasoline,CA,L3ULEV125,California LEV-III ULEV125,SBMXT03.0S58,small SUV,2,15,20,17,3,No,519
BMW X4 M Competition,3.0,6.0,SemiAuto-8,4WD,Gasoline,CA,L3ULEV125,California LEV-III ULEV125,SBMXT03.0S58,small SUV,2,15,20,17,3,No,519
BMW X4 M40i,3.0,6.0,SemiAuto-8,4WD,Gasoline,CA,L3ULEV70,California LEV-III ULEV70,SBMXT03.0G2X,small SUV,4,22,26,23,5,No,377
BMW X4 xDrive30i,2.0,4.0,SemiAuto-8,4WD,Gasoline,CA,L3SULEV30,California LEV-III SULEV30,SBMXJ02.0B4X,small SUV,6,21,27,24,5,No,372
BMW X5 M Competition,4.4,8.0,SemiAuto-8,4WD,Gasoline,CA,L3ULEV70,California LEV-III ULEV70,SBMXT04.4S6M,standard SUV,4,13,18,15,2,No,589
BMW X5 M60i xDrive,4.4,8.0,SemiAuto-8,4WD,Gasoline,CA,L3ULEV70,California LEV-III ULEV70,SBMXJ04.4S68,standard SUV,4,17,22,19,4,No,458
BMW X5 sDrive40i,3.0,6.0,SemiAuto-8,2WD,Gasoline,CA,L3SULEV30,California LEV-III SULEV30,SBMXJ03.0B58,standard SUV,6,23,27,25,5,No,360
BMW X5 xDrive40i,3.0,6.0,SemiAuto-8,4WD,Gasoline,CA,L3SULEV30,California LEV-III SULEV30,SBMXJ03.0B58,standard SUV,6,23,27,25,5,No,352
BMW X5 xDrive50e,3.0,6.0,SemiAuto-8,4WD,Gasoline/Electricity,CA,L3SULEV30,California LEV-III SULEV30,SBMXJ03.0H70,standard SUV,6,22/57,23/59,22/58,9,Yes,130
BMW X6 M Competition,4.4,8.0,SemiAuto-8,4WD,Gasoline,CA,L3ULEV70,California LEV-III ULEV70,SBMXT04.4S6M,standard SUV,4,13,18,15,2,No,589
BMW X6 M60i xDrive,4.4,8.0,SemiAuto-8,4WD,Gasoline,CA,L3ULEV70,California LEV-III ULEV70,SBMXJ04.4S68,standard SUV,4,17,22,19,4,No,458
BMW X6 xDrive40i,3.0,6.0,SemiAuto-8,4WD,Gasoline,CA,L3SULEV30,California LEV-III SULEV30,SBMXJ03.0B58,standard SUV,6,23,26,24,5,No,359
BMW X7 M60i xDrive,4.4,8.0,SemiAuto-8,4WD,Gasoline,CA,L3ULEV70,California LEV-III ULEV70,SBMXJ04.4S68,standard SUV,4,16,20,18,4,No,498
BMW X7 xDrive40i,3.0,6.0,SemiAuto-8,4WD,Gasoline,CA,L3SULEV30,California LEV-III SULEV30,SBMXJ03.0B58,standard SUV,6,20,24,22,5,No,397
BMW XM,4.4,8.0,SemiAuto-8,4WD,Gasoline/Electricity,CA,L3SULEV30,California LEV-III SULEV30,SBMXT04.4H09,standard SUV,6,12/46,17/46,14/46,7,No,244
BMW XM Label,4.4,8.0,SemiAuto-8,4WD,Gasoline/Electricity,CA,L3SULEV30,California LEV-III SULEV30,SBMXT04.4H09,standard SUV,6,12/46,17/46,14/46,7,No,255
BMW Z4,2.0,4.0,SemiAuto-8,2WD,Gasoline,CA,L3SULEV30,California LEV-III SULEV30,SBMXJ02.0B4X,small car,6,25,33,28,6,No,312
BMW Z4 M40i,3.0,6.0,Man-6,2WD,Gasoline,CA,L3ULEV70,California LEV-III ULEV70,SBMXV03.0B5X,small car,4,19,26,22,5,No,407
"BMW i4 M50 Gran Coupe (19"" Wheels)",,,Auto-1,4WD,Electricity,FA,T3B0,Federal Tier 3 Bin 0,SBMXV00.0G2X,small car,10,93,96,94,10,Elite,0
"BMW i4 M50 Gran Coupe (20"" Wheels)",,,Auto-1,4WD,Electricity,FA,T3B0,Federal Tier 3 Bin 0,SBMXV00.0G2X,small car,10,80,80,80,10,Elite,0
"BMW i4 eDrive35 Gran Coupe (18"" Wheels)",,,Auto-1,2WD,Electricity,FA,T3B0,Federal Tier 3 Bin 0,SBMXV00.0G2S,small car,10,117,114,116,10,Elite,0
"BMW i4 eDrive35 Gran Coupe (19"" Wheels)",,,Auto-1,2WD,Electricity,FA,T3B0,Federal Tier 3 Bin 0,SBMXV00.0G2S,small car,10,108,104,106,10,Elite,0
"BMW i4 eDrive40 Gran Coupe (18"" Wheels)",,,Auto-1,2WD,Electricity,FA,T3B0,Federal Tier 3 Bin 0,SBMXV00.0G2S,small car,10,113,111,112,10,Elite,0
"BMW i4 eDrive40 Gran Coupe (19"" Wheels)",,,Auto-1,2WD,Electricity,FA,T3B0,Federal Tier 3 Bin 0,SBMXV00.0G2S,small car,10,106,103,104,10,Elite,0
BMW i4 xDrive40 Gran Coupe (18'' Wheels),,,Auto-1,4WD,Electricity,FA,T3B0,Federal Tier 3 Bin 0,SBMXV00.0G2X,small car,10,99,103,101,10,Elite,0
BMW i4 xDrive40 Gran Coupe (19'' Wheels),,,Auto-1,4WD,Electricity,FA,T3B0,Federal Tier 3 Bin 0,SBMXV00.0G2X,small car,10,93,95,94,10,Elite,0
BMW i5 M60 xDrive Sedan (19'' Wheels),,,Auto-1,4WD,Electricity,FA,T3B0,Federal Tier 3 Bin 0,SBMXV00.0G2X,small car,10,89,91,90,10,Elite,0
BMW i5 M60 xDrive Sedan (20'' Wheels),,,Auto-1,4WD,Electricity,FA,T3B0,Federal Tier 3 Bin 0,SBMXV00.0G2X,small car,10,88,88,88,10,Elite,0
BMW i5 M60 xDrive Sedan (21'' Wheels),,,Auto-1,4WD,Electricity,FA,T3B0,Federal Tier 3 Bin 0,SBMXV00.0G2X,small car,10,83,85,84,10,Elite,0
BMW i5 eDrive40 Sedan (19'' Wheels),,,Auto-1,2WD,Electricity,FA,T3B0,Federal Tier 3 Bin 0,SBMXV00.0G2S,small car,10,104,105,105,10,Elite,0
BMW i5 eDrive40 Sedan (20'' Wheels),,,Auto-1,2WD,Electricity,FA,T3B0,Federal Tier 3 Bin 0,SBMXV00.0G2S,small car,10,99,98,99,10,Elite,0
BMW i5 eDrive40 Sedan (21'' Wheels),,,Auto-1,2WD,Electricity,FA,T3B0,Federal Tier 3 Bin 0,SBMXV00.0G2S,small car,10,97,94,96,10,Elite,0
"BMW i5 xDrive40 Sedan (19"" Wheels)",,,Auto-1,4WD,Electricity,FA,T3B0,Federal Tier 3 Bin 0,SBMXV00.0G2X,small car,10,92,95,93,10,Elite,0
"BMW i5 xDrive40 Sedan (20"" Wheels)",,,Auto-1,4WD,Electricity,FA,T3B0,Federal Tier 3 Bin 0,SBMXV00.0G2X,small car,10,92,94,93,10,Elite,0
"BMW i5 xDrive40 Sedan (21"" Wheels)",,,Auto-1,4WD,Electricity,FA,T3B0,Federal Tier 3 Bin 0,SBMXV00.0G2X,small car,10,86,87,87,10,Elite,0
BMW i7 M70 xDrive Sedan (20'' Wheels),,,Auto-1,4WD,Electricity,FA,T3B0,Federal Tier 3 Bin 0,SBMXJ00.0I2T,large car,10,72,79,75,10,Elite,0
BMW i7 M70 xDrive Sedan (21'' Wheels),,,Auto-1,4WD,Electricity,FA,T3B0,Federal Tier 3 Bin 0,SBMXJ00.0I2T,large car,10,77,83,79,10,Elite,0
BMW i7 eDrive50 Sedan (19'' Wheels),,,Auto-1,2WD,Electricity,FA,T3B0,Federal Tier 3 Bin 0,SBMXV00.0G7S,large car,10,85,93,88,10,Elite,0
BMW i7 eDrive50 Sedan (20'' Wheels),,,Auto-1,2WD,Electricity,FA,T3B0,Federal Tier 3 Bin 0,SBMXV00.0G7S,large car,10,82,88,85,10,Elite,0
BMW i7 eDrive50 Sedan (21'' Wheels),,,Auto-1,2WD,Electricity,FA,T3B0,Federal Tier 3 Bin 0,SBMXV00.0G7S,large car,10,84,90,87,10,Elite,0
BMW i7 xDrive60 Sedan (19'' Wheels),,,Auto-1,4WD,Electricity,FA,T3B0,Federal Tier 3 Bin 0,SBMXV00.0G2X,large car,10,85,91,88,10,Elite,0
BMW i7 xDrive60 Sedan (20'' Wheels),,,Auto-1,4WD,Electricity,FA,T3B0,Federal Tier 3 Bin 0,SBMXV00.0G2X,large car,10,81,85,83,10,Elite,0
BMW i7 xDrive60 Sedan (21'' Wheels),,,Auto-1,4WD,Electricity,FA,T3B0,Federal Tier 3 Bin 0,SBMXV00.0G2X,large car,10,85,89,87,10,Elite,0
BMW iX M60 (21'' Wheels),,,Auto-1,4WD,Electricity,FA,T3B0,Federal Tier 3 Bin 0,SBMXJ00.0I2T,standard SUV,10,75,77,76,10,Elite,0
BMW iX M60 (22'' Wheels),,,Auto-1,4WD,Electricity,FA,T3B0,Federal Tier 3 Bin 0,SBMXJ00.0I2T,standard SUV,10,75,79,77,10,Elite,0
BMW iX xDrive40 (20'' Wheels),,,Auto-1,4WD,Electricity,FA,T3B0,Federal Tier 3 Bin 0,SBMXT00.0I2M,standard SUV,10,87,85,86,10,Elite,0
BMW iX xDrive40 (21'' Wheels),,,Auto-1,4WD,Electricity,FA,T3B0,Federal Tier 3 Bin 0,SBMXT00.0I2M,standard SUV,10,84,81,83,10,Elite,0
BMW iX xDrive40 (22'' Wheels),,,Auto-1,4WD,Electricity,FA,T3B0,Federal Tier 3 Bin 0,SBMXT00.0I2M,standard SUV,10,89,85,87,10,Elite,0
"BMW iX xDrive50 (20"" Wheels)",,,Auto-1,4WD,Electricity,FA,T3B0,Federal Tier 3 Bin 0,SBMXT00.0I2M,standard SUV,10,82,84,83,10,Elite,0
"BMW iX xDrive50 (21"" Wheels)",,,Auto-1,4WD,Electricity,FA,T3B0,Federal Tier 3 Bin 0,SBMXT00.0I2M,standard SUV,10,82,81,81,10,Elite,0
BMW iX xDrive50 (22'' Wheels),,,Auto-1,4WD,Electricity,FA,T3B0,Federal Tier 3 Bin 0,SBMXT00.0I2M,standard SUV,10,82,81,81,10,Elite,0
BUICK Enclave,2.5,4.0,Auto-8,2WD,Gasoline,CA,L3ULEV50,California LEV-III ULEV50,SGMXT02.5000,standard SUV,5,20,27,23,5,No,387
BUICK Encore GX,1.2,3.0,CVT,2WD,Ethanol/Gas,CA,L3SULEV30,California LEV-III SULEV30,SGMXV01.2002,small SUV,6,22/30,23/31,22/30,6,No,284/297
BUICK Envision,2.0,4.0,SemiAuto-9,4WD,Gasoline,CA,L3SULEV30,California LEV-III SULEV30,SGMXT02.0400,small SUV,6,22,28,24,5,No,371
BUICK Envista,1.2,3.0,Auto-6,2WD,Ethanol/Gas,CA,L3SULEV30,California LEV-III SULEV30,SGMXV01.2002,station wagon,6,20/28,24/32,22/30,6,No,287/297
CADILLAC CT4,2.0,4.0,SemiAuto-8,2WD,Gasoline,CA,L3SULEV30,California LEV-III SULEV30,SGMXV02.0041,small car,6,22,32,26,5,No,345
CADILLAC CT4 V,2.7,4.0,SemiAuto-10,2WD,Gasoline,CA,L3ULEV50,California LEV-III ULEV50,SGMXV02.7105,small car,5,20,29,23,5,No,383
CADILLAC CT5,2.0,4.0,SemiAuto-10,2WD,Gasoline,CA,L3SULEV30,California LEV-III SULEV30,SGMXV02.0041,midsize car,6,23,32,26,5,No,341
CADILLAC CT5 V,3.0,6.0,SemiAuto-10,2WD,Gasoline,CA,L3ULEV70,California LEV-III ULEV70,SGMXV03.6043,midsize car,4,18,27,21,4,No,424
CADILLAC XT4,2.0,4.0,SemiAuto-9,2WD,Gasoline,CA,L3SULEV30,California LEV-III SULEV30,SGMXT02.0400,small SUV,6,24,29,26,5,No,343
CADILLAC XT5,2.0,4.0,SemiAuto-9,2WD,Gasoline,CA,L3SULEV30,California LEV-III SULEV30,SGMXT02.0500,small SUV,6,22,29,24,5,No,370
CADILLAC XT5 Limo,2.0,4.0,SemiAuto-9,2WD,Gasoline,CA,L3ULEV50,California LEV-III ULEV50,SGMXT02.0550,special purpose,5,20,23,21,4,No,425
CADILLAC XT6,2.0,4.0,SemiAuto-9,2WD,Gasoline,CA,L3SULEV30,California LEV-III SULEV30,SGMXT02.0500,small SUV,6,21,27,23,5,No,386
CHEVROLET Blazer,2.0,4.0,Auto-9,2WD,Gasoline,CA,L3SULEV30,California LEV-III SULEV30,SGMXT02.0500,small SUV,6,22,29,25,5,No,358
CHEVROLET Equinox,1.5,4.0,Auto-8,4WD,Gasoline,CA,L3SULEV30,California LEV-III SULEV30,SGMXT01.5080,small SUV,6,24,29,26,5,No,344
CHEVROLET Malibu,1.5,4.0,CVT,2WD,Gasoline,CA,L3SULEV30,California LEV-III SULEV30,SGMXV01.5010,midsize car,6,28,36,31,6,No,283
CHEVROLET Silverado,2.7,4.0,Auto-8,2WD,Gasoline,CA,L3SULEV30,California LEV-III SULEV30,SGMXT02.7100,pickup,6,17,21,19,4,No,470
CHEVROLET Silverado 4WD Mud Terrain Tire,2.7,4.0,Auto-8,4WD,Gasoline,CA,L3SULEV30,California LEV-III SULEV30,SGMXT02.7100,pickup,6,16,17,16,3,No,538
CHEVROLET Silverado ZR2,3.0,6.0,Auto-10,4WD,Diesel,CA,L3ULEV70,California LEV-III ULEV70,SGMXT03.0355,pickup,4,20,23,21,4,No,479
CHEVROLET Trailblazer,1.2,3.0,CVT,2WD,Ethanol/Gas,CA,L3SULEV30,California LEV-III SULEV30,SGMXV01.2002,small SUV,6,22/30,23/31,22/30,6,No,284/297
CHEVROLET Traverse,2.5,4.0,Auto-8,2WD,Gasoline,CA,L3ULEV50,California LEV-III ULEV50,SGMXT02.5000,standard SUV,5,20,27,23,5,No,388
CHEVROLET Trax,1.2,3.0,Auto-6,2WD,Ethanol/Gas,CA,L3SULEV30,California LEV-III SULEV30,SGMXV01.2002,station wagon,6,21/28,24/32,22/30,6,No,285/296
CHRYSLER Pacifica,3.6,6.0,Auto-9,2WD,Gasoline,CA,L3SULEV30,California LEV-III SULEV30,SCRXT03.65P6,minivan,6,19,28,22,5,No,401
CHRYSLER Pacifica Hybrid,3.6,6.0,CVT,2WD,Gasoline/Electricity,CA,L3SULEV30,California LEV-III SULEV30,SCRXT03.65PH,minivan,6,29/87,30/77,30/82,9,Yes,119
CHRYSLER Voyager,3.6,6.0,Auto-9,2WD,Gasoline,CA,L3SULEV30,California LEV-III SULEV30,SCRXT03.65P6,minivan,6,19,28,22,5,No,401
DODGE Durango,3.6,6.0,Auto-8,2WD,Gasoline,CA,L3SULEV30,California LEV-III SULEV30,SCRXT03.65P6,standard SUV,6,18,25,20,4,No,439
DODGE Durango  SRT,6.2,8.0,Auto-8,4WD,Gasoline,CA,L3LEV160,California LEV-III LEV160,SCRXT06.25P1,standard SUV,1,12,17,13,1,No,659
DODGE Hornet,2.0,4.0,Auto-9,4WD,Gasoline,CA,L3SULEV30,California LEV-III SULEV30,SCRXT02.05P1,small SUV,6,21,29,24,5,No,372
DODGE Hornet PHEV AWD,1.3,4.0,Auto-6,4WD,Gasoline/Electricity,CA,L3ULEV50,California LEV-III ULEV50,SCRXV01.35PH,small SUV,5,29/77,29/77,29/77,9,No,120
FORD Explorer,2.3,4.0,Auto-10,2WD,Gasoline,CA,L3SULEV30,California LEV-III SULEV30,SFMXT02.34K2,standard SUV,6,20,29,24,5,No,377
GENESIS Electrified G80,,,Auto-1,4WD,Electricity,FA,T3B0,Federal Tier 3 Bin 0,SHYXV00.0H00,midsize car,10,105,89,97,10,Elite,0
GENESIS Electrified GV70,,,Auto-1,4WD,Electricity,FA,T3B0,Federal Tier 3 Bin 0,SHYXV00.0U00,small SUV,10,98,83,91,10,Elite,0
GENESIS G70,2.5,4.0,SemiAuto-8,2WD,Gasoline,CA,L3ULEV50,California LEV-III ULEV50,SHYXV02.5GP5,small car,5,21,29,24,5,No,373
GENESIS G80,2.5,4.0,SemiAuto-8,4WD,Gasoline,CA,L3SULEV30,California LEV-III SULEV30,SHYXV02.5HP3,large car,6,20,29,24,5,No,377
GENESIS G90,3.5,6.0,SemiAuto-8,4WD,Gasoline,CA,L3ULEV70,California LEV-III ULEV70,SHYXV03.5JT7,large car,4,18,26,21,4,No,426
GENESIS G90 MHEV,3.5,6.0,SemiAuto-8,4WD,Gasoline,CA,L3ULEV70,California LEV-III ULEV70,SHYXV03.5J17,large car,4,17,24,20,4,No,441
"GENESIS GV60 AWD (19"" Wheels)",,,Auto-1,4WD,Electricity,FA,T3B0,Federal Tier 3 Bin 0,SHYXV00.0301,small SUV,10,110,90,100,10,Elite,0
"GENESIS GV60 AWD Advanced (20"" Wheels)",,,Auto-1,4WD,Electricity,FA,T3B0,Federal Tier 3 Bin 0,SHYXV00.0301,small SUV,10,103,86,95,10,Elite,0
GENESIS GV60 AWD Performance,,,Auto-1,4WD,Electricity,FA,T3B0,Federal Tier 3 Bin 0,SHYXV00.0302,small SUV,10,97,82,90,10,Elite,0
GENESIS GV60 RWD,,,Auto-1,2WD,Electricity,FA,T3B0,Federal Tier 3 Bin 0,SHYXV00.0300,small SUV,10,125,99,112,10,Elite,0
GENESIS GV70,2.5,4.0,SemiAuto-8,4WD,Gasoline,CA,L3ULEV70,California LEV-III ULEV70,SHYXV02.5UP7,small SUV,4,19,26,22,5,No,408
GENESIS GV80,2.5,4.0,SemiAuto-8,4WD,Gasoline,CA,L3SULEV30,California LEV-III SULEV30,SHYXT02.5TP3,standard SUV,6,19,24,21,4,No,427
GENESIS GV80 MHEV,3.5,6.0,SemiAuto-8,4WD,Gasoline,CA,L3ULEV50,California LEV-III ULEV50,SHYXT03.5T15,standard SUV,5,18,22,20,4,No,455
GMC Acadia,2.5,4.0,Auto-8,2WD,Gasoline,CA,L3ULEV50,California LEV-III ULEV50,SGMXT02.5000,standard SUV,5,20,27,23,5,No,387
GMC Hummer EV Pickup,,,Auto-1,4WD,Electricity,FA,T3B0,Federal Tier 3 Bin 0,SGMXT00.0009,pickup,10,58,46,52,10,Elite,0
GMC Hummer EV Pickup MT Tires,,,Auto-1,4WD,Electricity,FA,T3B0,Federal Tier 3 Bin 0,SGMXT00.0009,pickup,10,53,43,48,10,Elite,0
GMC Hummer EV SUV,,,Auto-1,4WD,Electricity,FA,T3B0,Federal Tier 3 Bin 0,SGMXT00.0009,standard SUV,10,58,46,52,10,Elite,0
